year,state,technicians,salons,region,population
2017,Alabama,4279,98,South,4874747
2017,Alaska,860,885,West,739795
2017,Arizona,8274,502,West,7016270
2017,Arkansas,2137,1145,South,3004279
2017,California,100909,7897,West,39536653
2017,Colorado,8733,925,West,5607154
2017,Connecticut,2932,951,Northeast,3588184
2017,Delaware,212,104,South,961939
2017,District of Columbia,958,186,South,693972
2017,Florida,33999,4230,South,20984400
2017,Georgia,8846,1958,South,10429379
2017,Hawaii,900,203,West,1427538
2017,Idaho,2186,390,West,1716943
2017,Illinois,10603,210,Midwest,12802023
2017,Indiana,6639,2103,Midwest,6666818
2017,Iowa,1798,891,Midwest,3145711
2017,Kansas,1080,447,Midwest,2913123
2017,Kentucky,2895,530,South,4454189
2017,Louisiana,4768,1065,South,4684333
2017,Maine,1173,1411,Northeast,1335907
2017,Maryland,7194,1047,South,6052177
2017,Massachusetts,16745,162,Northeast,6859819
2017,Michigan,17518,1505,Midwest,9962311
2017,Minnesota,5627,691,Midwest,5576606
2017,Mississippi,1900,909,South,2984100
2017,Missouri,6329,449,Midwest,6113532
2017,Montana,1401,164,West,1050493
2017,Nebraska,1175,1661,Midwest,1920076
2017,Nevada,11000,98,West,2998039
2017,New Hampshire,1650,322,Northeast,1342795
2017,New Jersey,8255,208,Northeast,9005644
2017,New Mexico,1311,2145,West,2088070
2017,New York,16335,334,Northeast,19849399
2017,North Carolina,16687,494,South,10273419
2017,North Dakota,573,3636,Midwest,755393
2017,Ohio,13380,1455,Midwest,11658609
2017,Oklahoma,4518,736,South,3930864
2017,Oregon,12714,591,West,4142776
2017,Pennsylvania,11801,2216,Northeast,12805537
2017,Rhode Island,637,227,Northeast,1059639
2017,South Carolina,2161,807,South,5024369
2017,South Dakota,1800,75,Midwest,869666
2017,Tennessee,6817,1085,South,6715984
2017,Texas,48199,5126,South,28304596
2017,Utah,370,328,West,3101833
2017,Vermont,263,1406,Northeast,623657
2017,Virginia,8072,63,South,8470020
2017,Washington,7300,1185,West,7405743
2017,West Virginia,1545,856,South,1815857
2017,Wisconsin,1718,164,Midwest,5795483
2017,Wyoming,575,110,West,579315
2016,Alabama,3389,951,South,4860545
2016,Alaska,977,174,West,741522
2016,Arizona,7874,1262,West,6908642
2016,Arkansas,2081,536,South,2988231
2016,California,88335,9440,West,39296476
2016,Colorado,8308,1026,West,5530105
2016,Connecticut,2932,1052,Northeast,3587685
2016,Delaware,212,207,South,952698
2016,District of Columbia,206,107,South,684336
2016,Florida,31882,6293,South,20656589
2016,Georgia,7659,2093,South,10313620
2016,Hawaii,900,229,West,1428683
2016,Idaho,1933,309,West,1680026
2016,Illinois,9949,2413,Midwest,12835726
2016,Indiana,5367,1023,Midwest,6634007
2016,Iowa,1405,436,Midwest,3130869
2016,Kansas,1080,509,Midwest,2907731
2016,Kentucky,2634,616,South,4436113
2016,Louisiana,4311,1284,South,4686157
2016,Maine,1103,171,Northeast,1330232
2016,Maryland,6015,1286,South,6024752
2016,Massachusetts,14795,1622,Northeast,6823721
2016,Michigan,14890,1812,Midwest,9933445
2016,Minnesota,4744,860,Midwest,5525050
2016,Mississippi,1668,497,South,2985415
2016,Missouri,5352,986,Midwest,6091176
2016,Montana,154,184,West,1038656
2016,Nebraska,1103,379,Midwest,1907603
2016,Nevada,11000,1052,West,2939254
2016,New Hampshire,1108,250,Northeast,1335015
2016,New Jersey,7870,2575,Northeast,8978416
2016,New Mexico,1118,380,West,2085432
2016,New York,16335,5569,Northeast,19836286
2016,North Carolina,13697,2088,South,10156689
2016,North Dakota,446,125,Midwest,755548
2016,Ohio,12332,1863,Midwest,11622554
2016,Oklahoma,4388,783,South,3921207
2016,Oregon,11551,691,West,4085989
2016,Pennsylvania,11444,2663,Northeast,12787085
2016,Rhode Island,591,236,Northeast,1057566
2016,South Carolina,1850,960,South,4959822
2016,South Dakota,1800,83,Midwest,861542
2016,Tennessee,6067,1250,South,6649404
2016,Texas,42536,6931,South,27904862
2016,Utah,370,368,West,3044321
2016,Vermont,204,69,Northeast,623354
2016,Virginia,7322,1615,South,8414380
2016,Washington,7300,1512,West,7280934
2016,West Virginia,1187,183,South,1828637
2016,Wisconsin,1474,1023,Midwest,5772917
2016,Wyoming,333,114,West,584910
