ResponseId,pkgs_pkgs_tidyr,pkgs_pkgs_readr,pkgs_pkgs_stringr,pkgs_pkgs_forcats,pkgs_pkgs_ggplot,pkgs_pkgs_purr,pkgs_pkgs_tibble,pkgs_pkgs_dplyr,pkgs_pkgs_lubridate,pkgs_pkgs_broom,pkgs_pkgs_blob,pkgs_pkgs_magrittr,pkgs_pkgs_glue,pkgs_pkgs_readxl,pkgs_pkgs_haven,pkgs_pkgs_feather,operators_operators_1,operators_operators_2,operators_operators_3,operators_operators_4,operators_operators_5,operators_operators_6,operators_operators_7,operators_operators_8,estimate_1,Ryears,platform,rknowledge
R_29axP9TxOAnoRWu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,11
R_BE4QuFR7K6pD6ff,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,1,14
R_2xCOWI1ooIHYopu,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,57,4,2,18
R_2QFLIRdKNdLPu2G,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,75,4,1,20
R_sj4Rd9XFrV2Yj73,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,20,2,2,19
R_re7UJMbUWu4g5jP,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,70,6,2,21
R_2SrexUWApvnBEId,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,70,6,3,18
R_3DhxYRf2XLu2L7p,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,73,3,2,24
R_1FtCSXz8wcHU0dt,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,73,4,2,19
R_3KxTaWAtX9wh7bj,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,39,2,1,21
R_2fvUYERrAg75QHZ,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,85,4,3,20
R_2BapdzKOhSbAEL4,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,40,1,1,18
R_2wO000PRb6MQx3W,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,50,7,3,14
R_2B9zTw3b7uf8ASg,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,100,7,1,24
R_3NX6zXiwwOmUNpu,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,67,7,1,20
R_1dcA14W7zh0SPMN,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,75,7,1,18
R_2pPFHUL4JaqxH6b,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,58,4,1,20
R_20O2Ch0mkxJuhn4,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,65,7,2,18
R_sAPNA4IFZIv2u7n,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,61,5,1,19
R_1dhwrRz1woecy7d,1,1,1,0,0,1,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,50,5,1,19
R_1KjdCxG0iVFopvg,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,63,2,3,19
R_tJm1eMcXruN0GFX,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,0,0,90,4,3,20
R_1rcf5IOiFwtVhCb,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,70,3,2,21
R_1BVi12dCOfqiNJe,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,0,1,1,0,0,0,67,5,2,21
R_1KpYvCjhN3wI0XT,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,25,6,1,19
R_3Dux6AqQzCXPO70,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,0,40,2,1,15
R_3FVuyN3UoHXviS7,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,60,4,1,20
R_2EhLoIHNt5RlcJD,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,0,0,50,1,1,16
R_AtU1n4ywOOjt2MN,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,7,1,16
R_3m3MCWS3PPWT1TF,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,75,6,1,21
R_1PZ5vKZSYQkIKtW,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,65,7,1,20
R_2rJIRyeBetnSGGO,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,66,7,1,23
